"COMMON.NAME" "SCIENTIFIC.NAME" "OBSERVATION.COUNT" "LATITUDE" "LONGITUDE" "DATE" "MONTH" "DAY" "MIGRANT"
"Eurasian Marsh-Harrier" "Circus aeruginosus" "1" 25.1921346 55.3193807 "1990-10-12" "10" 285 "yes"
"Eurasian Sparrowhawk" "Accipiter nisus" "1" 24.985556 55.024179 "1995-12-15" "12" 349 "yes"
"Northern Goshawk" "Accipiter gentilis" "1" 25.218198 55.44909 "1984-04-13" "04" 104 "yes"
"Common Myna" "Acridotheres tristis" "X" 25.218198 55.44909 "1998-10-08" "10" 281 "no"
"Common Myna" "Acridotheres tristis" "5" 25.205159 55.29646 "1990-04-05" "04" 95 "no"
"European Roller" "Coracias garrulus" "5" 25.169707 55.432797 "1999-10-11" "10" 284 "no"
"Eurasian Marsh-Harrier" "Circus aeruginosus" "1" 25.169707 55.432797 "1999-11-05" "11" 309 "yes"
"Eurasian Marsh-Harrier" "Circus aeruginosus" "1" 25.169707 55.432797 "1999-11-13" "11" 317 "yes"
"Common Myna" "Acridotheres tristis" "X" 25.086263 55.163731 "1999-03-26" "03" 85 "no"
"Great Gray Shrike" "Lanius excubitor" "2" 25.086263 55.163731 "1999-06-05" "06" 156 "no"
"House Crow" "Corvus splendens" "X" 25.086263 55.163731 "1999-10-04" "10" 277 "no"
"Great Gray Shrike" "Lanius excubitor" "X" 25.086263 55.163731 "1993-03-13" "03" 72 "no"
"Gray Heron" "Ardea cinerea" "1" 25.086263 55.163731 "1996-10-30" "10" 304 "no"
"Indian Roller" "Coracias benghalensis" "2" 25.185622 55.2467036 "1990-06-08" "06" 159 "no"
"Eurasian Marsh-Harrier" "Circus aeruginosus" "4" 25.1921346 55.3193807 "1995-02-23" "02" 54 "yes"
"Bonelli's Eagle" "Aquila fasciata" "1" 25.1921346 55.3193807 "1999-12-06" "12" 340 "yes"
"Great Gray Shrike" "Lanius excubitor" "1" 25.159611 55.41546 "1999-05-30" "05" 150 "no"
"Indian Roller" "Coracias benghalensis" "1" 25.2274871 55.2896835 "1999-07-11" "07" 192 "no"
